input,pred_missing_id (0_indexed),generated_sentence,pred_story,gt_missing_id (0_indexed),gt_sentence,gt_story,questionid,A,B,GT,Generated,amt_answers
he grabbed the nearest thing. he opened the can of soup. he warmed it up. he ate it for dinner.,0,the man made some stew.,the man made some stew. he grabbed the nearest thing. he opened the can of soup. he warmed it up. he ate it for dinner.,0,Tanner needed food fast.,tanner needed food fast. he grabbed the nearest thing. he opened the can of soup. he warmed it up. he ate it for dinner.,94973018-ec11-482f-ae2c-943c8ffe8487,tanner needed food fast. he grabbed the nearest thing. he opened the can of soup. he warmed it up. he ate it for dinner.,the man made some stew. he grabbed the nearest thing. he opened the can of soup. he warmed it up. he ate it for dinner.,A,B,A A A both A
"i put it around my neck. i think i looked handsome. suddenly, i ran into the owner of the necklace. he thought it looked so good that he let me keep it.",0,i saw a beautiful necklace.,"i saw a beautiful necklace. i put it around my neck. i think i looked handsome. suddenly, i ran into the owner of the necklace. he thought it looked so good that he let me keep it.",0,I found a silver necklace on the ground.,"i found a silver necklace on the ground. i put it around my neck. i think i looked handsome. suddenly, i ran into the owner of the necklace. he thought it looked so good that he let me keep it.",01e44ac3-1930-48da-a7a9-9ea8c52fa92b,"i saw a beautiful necklace. i put it around my neck. i think i looked handsome. suddenly, i ran into the owner of the necklace. he thought it looked so good that he let me keep it.","i found a silver necklace on the ground. i put it around my neck. i think i looked handsome. suddenly, i ran into the owner of the necklace. he thought it looked so good that he let me keep it.",B,A,B B both both B
sal was working at the gas station. one held out a gun and asked all the money. the other punched him in the face. the robbers then ran off.,1,he was trying to sell a few items to a customer.,sal was working at the gas station. he was trying to sell a few items to a customer. one held out a gun and asked all the money. the other punched him in the face. the robbers then ran off.,1,Around 10 pm two masked men came in.,sal was working at the gas station. around 10 pm two masked men came in. one held out a gun and asked all the money. the other punched him in the face. the robbers then ran off.,b0ec6bc8-4957-49de-8ccd-4d97c8279977,sal was working at the gas station. he was trying to sell a few items to a customer. one held out a gun and asked all the money. the other punched him in the face. the robbers then ran off.,sal was working at the gas station. around 10 pm two masked men came in. one held out a gun and asked all the money. the other punched him in the face. the robbers then ran off.,B,A,B B B both B
kevin was hearing noises in his house. the noises seemed to be coming from his chimney. kevin called a professional chimney cleaner. the cleaner found and removed bird's nests in the chimney.,2,andy called the exterminator.,kevin was hearing noises in his house. the noises seemed to be coming from his chimney. andy called the exterminator. kevin called a professional chimney cleaner. the cleaner found and removed bird's nests in the chimney.,1,It sounded like birds chirping.,kevin was hearing noises in his house. it sounded like birds chirping. the noises seemed to be coming from his chimney. kevin called a professional chimney cleaner. the cleaner found and removed bird's nests in the chimney.,666b1765-d9c6-4d09-8e05-d93869e4abf7,kevin was hearing noises in his house. it sounded like birds chirping. the noises seemed to be coming from his chimney. kevin called a professional chimney cleaner. the cleaner found and removed bird's nests in the chimney.,kevin was hearing noises in his house. the noises seemed to be coming from his chimney. andy called the exterminator. kevin called a professional chimney cleaner. the cleaner found and removed bird's nests in the chimney.,A,B,A A A A A
lisa really wanted some new headphones. she couldn't believe how expensive they were though. lisa ended up buying them. when she put them on her head she loved them.,2,she went to the store to get one.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. she went to the store to get one. lisa ended up buying them. when she put them on her head she loved them.,2,Luckily she found a good deal for Bose.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. luckily she found a good deal for bose. lisa ended up buying them. when she put them on her head she loved them.,cf73a0cb-363f-452f-bfd9-e779b0afa8b0,lisa really wanted some new headphones. she couldn't believe how expensive they were though. luckily she found a good deal for bose. lisa ended up buying them. when she put them on her head she loved them.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. she went to the store to get one. lisa ended up buying them. when she put them on her head she loved them.,A,B,both both A both A
"annie sat at her desk ready to work on her novel. she put her fingers on the keyboard hoping for inspiration. to get her imagination going again, she decided to turn on the radio. as soon as a new soon started, she started typing.",4,she clicked on the radio and listened to the soothing words.,"annie sat at her desk ready to work on her novel. she put her fingers on the keyboard hoping for inspiration. to get her imagination going again, she decided to turn on the radio. as soon as a new soon started, she started typing. she clicked on the radio and listened to the soothing words.",2,She typed one sentence and had no more ideas.,"annie sat at her desk ready to work on her novel. she put her fingers on the keyboard hoping for inspiration. she typed one sentence and had no more ideas. to get her imagination going again, she decided to turn on the radio. as soon as a new soon started, she started typing.",185842b6-e367-4d68-8aec-8201c5d6bf11,"annie sat at her desk ready to work on her novel. she put her fingers on the keyboard hoping for inspiration. to get her imagination going again, she decided to turn on the radio. as soon as a new soon started, she started typing. she clicked on the radio and listened to the soothing words.","annie sat at her desk ready to work on her novel. she put her fingers on the keyboard hoping for inspiration. she typed one sentence and had no more ideas. to get her imagination going again, she decided to turn on the radio. as soon as a new soon started, she started typing.",B,A,neither neither B B B
rita's dream was to go on a long hiking adventure on a trail. the trail was over a thousand miles long. she was lost for several weeks and kept a journal of her experiences. she was found by rescuers and was forever grateful.,2,she was lost in the forest and had no way of way.,rita's dream was to go on a long hiking adventure on a trail. the trail was over a thousand miles long. she was lost in the forest and had no way of way. she was lost for several weeks and kept a journal of her experiences. she was found by rescuers and was forever grateful.,2,Somewhere along the way she took a wrong turn.,rita's dream was to go on a long hiking adventure on a trail. the trail was over a thousand miles long. somewhere along the way she took a wrong turn. she was lost for several weeks and kept a journal of her experiences. she was found by rescuers and was forever grateful.,d5046de0-cec1-4006-87c4-cde6a06cc5d6,rita's dream was to go on a long hiking adventure on a trail. the trail was over a thousand miles long. somewhere along the way she took a wrong turn. she was lost for several weeks and kept a journal of her experiences. she was found by rescuers and was forever grateful.,rita's dream was to go on a long hiking adventure on a trail. the trail was over a thousand miles long. she was lost in the forest and had no way of way. she was lost for several weeks and kept a journal of her experiences. she was found by rescuers and was forever grateful.,A,B,A both both both both
"dan's grandfather recently had a major stroke. however, dan saw his grandfather alive, but not moving. after talking to the doctors, they told dan he was paralyzed. dan was heartbroken to hear his grandfather was in such a state.",1,dan was a paramedic at the hospital.,"dan's grandfather recently had a major stroke. dan was a paramedic at the hospital. however, dan saw his grandfather alive, but not moving. after talking to the doctors, they told dan he was paralyzed. dan was heartbroken to hear his grandfather was in such a state.",1,"Dan rushed to the hospital, thinking the worse had happened.","dan's grandfather recently had a major stroke. dan rushed to the hospital, thinking the worse had happened. however, dan saw his grandfather alive, but not moving. after talking to the doctors, they told dan he was paralyzed. dan was heartbroken to hear his grandfather was in such a state.",e9edd2b0-28e8-49ad-ae79-6dcb60b40b75,"dan's grandfather recently had a major stroke. dan rushed to the hospital, thinking the worse had happened. however, dan saw his grandfather alive, but not moving. after talking to the doctors, they told dan he was paralyzed. dan was heartbroken to hear his grandfather was in such a state.","dan's grandfather recently had a major stroke. dan was a paramedic at the hospital. however, dan saw his grandfather alive, but not moving. after talking to the doctors, they told dan he was paralyzed. dan was heartbroken to hear his grandfather was in such a state.",A,B,A both A both A
"jerry was making his morning coffee. all of a sudden, his coffee maker started leaking. there was coffee all over his counter. jerry cleaned up the mess with a towel.",3,he had to go to the store to get more.,"jerry was making his morning coffee. all of a sudden, his coffee maker started leaking. there was coffee all over his counter. he had to go to the store to get more. jerry cleaned up the mess with a towel.",4,"Afterwards, he drove to Starbucks to buy a coffee.","jerry was making his morning coffee. all of a sudden, his coffee maker started leaking. there was coffee all over his counter. jerry cleaned up the mess with a towel. afterwards, he drove to starbucks to buy a coffee.",4ba96d97-9663-4d91-97cd-54c7e39eb651,"jerry was making his morning coffee. all of a sudden, his coffee maker started leaking. there was coffee all over his counter. jerry cleaned up the mess with a towel. afterwards, he drove to starbucks to buy a coffee.","jerry was making his morning coffee. all of a sudden, his coffee maker started leaking. there was coffee all over his counter. he had to go to the store to get more. jerry cleaned up the mess with a towel.",A,B,A both both A A
she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,0,lisa's family had just moved to a new country.,lisa's family had just moved to a new country. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,0,Lisa set out two pumpkins on her front steps.,lisa set out two pumpkins on her front steps. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,39f6dc78-3746-4acc-a144-4ef2b2f750b3,lisa set out two pumpkins on her front steps. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,lisa's family had just moved to a new country. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,A,B,A both A A A
"dan went to las vegas for a business trip. dan missed his wife and kids. finally the day came for dan to return home. upon seeing them again, he hugged his family tighter than ever before.",1,he had been saving for years to go to the desert of arizona.,"dan went to las vegas for a business trip. he had been saving for years to go to the desert of arizona. dan missed his wife and kids. finally the day came for dan to return home. upon seeing them again, he hugged his family tighter than ever before.",2,Dan called them every night after the meetings.,"dan went to las vegas for a business trip. dan missed his wife and kids. dan called them every night after the meetings. finally the day came for dan to return home. upon seeing them again, he hugged his family tighter than ever before.",691fa4c5-509b-48b3-bc7f-62433fcf9b58,"dan went to las vegas for a business trip. he had been saving for years to go to the desert of arizona. dan missed his wife and kids. finally the day came for dan to return home. upon seeing them again, he hugged his family tighter than ever before.","dan went to las vegas for a business trip. dan missed his wife and kids. dan called them every night after the meetings. finally the day came for dan to return home. upon seeing them again, he hugged his family tighter than ever before.",B,A,B B B B B
terrance was on his way back from work. he was running low on gas so he pulled into a gas station. he decided to buy a ticket. it turned out to be the winning ticket.,3,he was going to buy a ticket.,terrance was on his way back from work. he was running low on gas so he pulled into a gas station. he decided to buy a ticket. he was going to buy a ticket. it turned out to be the winning ticket.,2,As he was paying for his gas he saw a sign for Power Ball.,terrance was on his way back from work. he was running low on gas so he pulled into a gas station. as he was paying for his gas he saw a sign for power ball. he decided to buy a ticket. it turned out to be the winning ticket.,fc2b31df-42c4-4431-b8f2-e8d8a93c5e9d,terrance was on his way back from work. he was running low on gas so he pulled into a gas station. he decided to buy a ticket. he was going to buy a ticket. it turned out to be the winning ticket.,terrance was on his way back from work. he was running low on gas so he pulled into a gas station. as he was paying for his gas he saw a sign for power ball. he decided to buy a ticket. it turned out to be the winning ticket.,B,A,B B B B both
"his mom would try to change him but he would squirm and cry. his mom didn't know how to help him, though. she decided to just leave him out of his diaper for awhile. his rash healed up quickly with some clean air on it.",0,tom was a toddler who had a bad cough.,"tom was a toddler who had a bad cough. his mom would try to change him but he would squirm and cry. his mom didn't know how to help him, though. she decided to just leave him out of his diaper for awhile. his rash healed up quickly with some clean air on it.",0,Noah had a diaper rash.,"noah had a diaper rash. his mom would try to change him but he would squirm and cry. his mom didn't know how to help him, though. she decided to just leave him out of his diaper for awhile. his rash healed up quickly with some clean air on it.",342a73fe-170b-4cca-afd3-af623c7af014,"tom was a toddler who had a bad cough. his mom would try to change him but he would squirm and cry. his mom didn't know how to help him, though. she decided to just leave him out of his diaper for awhile. his rash healed up quickly with some clean air on it.","noah had a diaper rash. his mom would try to change him but he would squirm and cry. his mom didn't know how to help him, though. she decided to just leave him out of his diaper for awhile. his rash healed up quickly with some clean air on it.",B,A,B both B B B
misses dash was a third year teacher. she had trouble with a boy named tommy. tommy would always make dirty comments about her lessons. one day misses dash sent tommy to the principal's office.,4,the teacher was very nice and had a hard time talking to her.,misses dash was a third year teacher. she had trouble with a boy named tommy. tommy would always make dirty comments about her lessons. one day misses dash sent tommy to the principal's office. the teacher was very nice and had a hard time talking to her.,4,Tommy's behavior did not improve when he returned.,misses dash was a third year teacher. she had trouble with a boy named tommy. tommy would always make dirty comments about her lessons. one day misses dash sent tommy to the principal's office. tommy's behavior did not improve when he returned.,737050d8-d7b4-453a-8c21-f9751adc940a,misses dash was a third year teacher. she had trouble with a boy named tommy. tommy would always make dirty comments about her lessons. one day misses dash sent tommy to the principal's office. the teacher was very nice and had a hard time talking to her.,misses dash was a third year teacher. she had trouble with a boy named tommy. tommy would always make dirty comments about her lessons. one day misses dash sent tommy to the principal's office. tommy's behavior did not improve when he returned.,B,A,B B B B B
"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.",2,she decided to go to the library to check out a book.,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. she decided to go to the library to check out a book. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.",3,She didn't hear the engine start or notice the book mobile moving.,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. she didn't hear the engine start or notice the book mobile moving. when nell finished her story, she found she was far from home.",625f504d-eb26-43e0-abc7-20f7c88e70a2,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. she decided to go to the library to check out a book. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.","nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. she didn't hear the engine start or notice the book mobile moving. when nell finished her story, she found she was far from home.",B,A,both B B B neither
we were thinking of a place to go. we wanted someplace new but not too far away. so they googled ideas and suggestions. they booked a hotel and started planning their trip.,3,they decided on a location.,we were thinking of a place to go. we wanted someplace new but not too far away. so they googled ideas and suggestions. they decided on a location. they booked a hotel and started planning their trip.,3,They eventually decided on Montreal.,we were thinking of a place to go. we wanted someplace new but not too far away. so they googled ideas and suggestions. they eventually decided on montreal. they booked a hotel and started planning their trip.,feb661d1-9270-42d9-a7cf-c6a26a0b94f9,we were thinking of a place to go. we wanted someplace new but not too far away. so they googled ideas and suggestions. they eventually decided on montreal. they booked a hotel and started planning their trip.,we were thinking of a place to go. we wanted someplace new but not too far away. so they googled ideas and suggestions. they decided on a location. they booked a hotel and started planning their trip.,A,B,both both both both both
allen loved to cut hair. during the final test he had to demonstrate some advanced hairstyles. on the very last hair cut his hand twitched and the scissors slipped. he not only cut off the customer's ear but he failed the last test.,1,he was very good at it and he was often the best.,allen loved to cut hair. he was very good at it and he was often the best. during the final test he had to demonstrate some advanced hairstyles. on the very last hair cut his hand twitched and the scissors slipped. he not only cut off the customer's ear but he failed the last test.,1,He was one test away from getting his barber license.,allen loved to cut hair. he was one test away from getting his barber license. during the final test he had to demonstrate some advanced hairstyles. on the very last hair cut his hand twitched and the scissors slipped. he not only cut off the customer's ear but he failed the last test.,02637905-4459-42df-8c2b-aaf2910de913,allen loved to cut hair. he was very good at it and he was often the best. during the final test he had to demonstrate some advanced hairstyles. on the very last hair cut his hand twitched and the scissors slipped. he not only cut off the customer's ear but he failed the last test.,allen loved to cut hair. he was one test away from getting his barber license. during the final test he had to demonstrate some advanced hairstyles. on the very last hair cut his hand twitched and the scissors slipped. he not only cut off the customer's ear but he failed the last test.,B,A,B both B B both
tom never liked taking pictures. he always thought he looked bad in them. one day a friend convinced him to take some. tom liked the way he looked in them.,4,tom was happy to be rid of his hair.,tom never liked taking pictures. he always thought he looked bad in them. one day a friend convinced him to take some. tom liked the way he looked in them. tom was happy to be rid of his hair.,4,He started taking more and better pictures.,tom never liked taking pictures. he always thought he looked bad in them. one day a friend convinced him to take some. tom liked the way he looked in them. he started taking more and better pictures.,3ece9506-1f68-4556-8495-c9bdc788f699,tom never liked taking pictures. he always thought he looked bad in them. one day a friend convinced him to take some. tom liked the way he looked in them. tom was happy to be rid of his hair.,tom never liked taking pictures. he always thought he looked bad in them. one day a friend convinced him to take some. tom liked the way he looked in them. he started taking more and better pictures.,B,A,B A B B B
"kia had locked herself out of her house. she searched for her spare key, but couldn't find it. then she saw that her basement window was slightly ajar. from there, she unlocked her front door and let herself in.",3,she looked everywhere but couldn't find it.,"kia had locked herself out of her house. she searched for her spare key, but couldn't find it. then she saw that her basement window was slightly ajar. she looked everywhere but couldn't find it. from there, she unlocked her front door and let herself in.",3,She climbed in through the basement window and went upstairs.,"kia had locked herself out of her house. she searched for her spare key, but couldn't find it. then she saw that her basement window was slightly ajar. she climbed in through the basement window and went upstairs. from there, she unlocked her front door and let herself in.",91a0a1dd-a6c7-47b1-8ef7-509abe24b54a,"kia had locked herself out of her house. she searched for her spare key, but couldn't find it. then she saw that her basement window was slightly ajar. she looked everywhere but couldn't find it. from there, she unlocked her front door and let herself in.","kia had locked herself out of her house. she searched for her spare key, but couldn't find it. then she saw that her basement window was slightly ajar. she climbed in through the basement window and went upstairs. from there, she unlocked her front door and let herself in.",B,A,B B B B B
amy was playing hide and seek with her daughter. she hid first. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,2,she was having fun until she realized she was lost.,amy was playing hide and seek with her daughter. she hid first. she was having fun until she realized she was lost. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,2,Her daughter found her quickly.,amy was playing hide and seek with her daughter. she hid first. her daughter found her quickly. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,e16d7c0a-b48d-456a-ab7a-8db0cbb58f77,amy was playing hide and seek with her daughter. she hid first. she was having fun until she realized she was lost. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,amy was playing hide and seek with her daughter. she hid first. her daughter found her quickly. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,B,A,B B B both B
he thought they might belong to an alien! buck also considered they might be human. he took them to a bone identification specialist. the mystery was solved when he found out they belonged to a raccoon.,0,the man saw a nest in the backyard of his house.,the man saw a nest in the backyard of his house. he thought they might belong to an alien! buck also considered they might be human. he took them to a bone identification specialist. the mystery was solved when he found out they belonged to a raccoon.,0,Buck found some small bones in a field.,buck found some small bones in a field. he thought they might belong to an alien! buck also considered they might be human. he took them to a bone identification specialist. the mystery was solved when he found out they belonged to a raccoon.,11840bfc-8ca5-4cb1-ba23-1a3a584b4c66,buck found some small bones in a field. he thought they might belong to an alien! buck also considered they might be human. he took them to a bone identification specialist. the mystery was solved when he found out they belonged to a raccoon.,the man saw a nest in the backyard of his house. he thought they might belong to an alien! buck also considered they might be human. he took them to a bone identification specialist. the mystery was solved when he found out they belonged to a raccoon.,A,B,both A A both both
"katrina loved wild roses more than any other flower. recently, she went on a hike to see if she could find any. just as she had nearly given up, she found a very tiny bush nearby. she took a cutting so that she could grown her very own wild roses.",4,she was so excited to see the wild wildflowers in the wild!,"katrina loved wild roses more than any other flower. recently, she went on a hike to see if she could find any. just as she had nearly given up, she found a very tiny bush nearby. she took a cutting so that she could grown her very own wild roses. she was so excited to see the wild wildflowers in the wild!",3,It was full of tiny pink blooms.,"katrina loved wild roses more than any other flower. recently, she went on a hike to see if she could find any. just as she had nearly given up, she found a very tiny bush nearby. it was full of tiny pink blooms. she took a cutting so that she could grown her very own wild roses.",0f981c55-c042-4657-93b5-83d95749f22a,"katrina loved wild roses more than any other flower. recently, she went on a hike to see if she could find any. just as she had nearly given up, she found a very tiny bush nearby. it was full of tiny pink blooms. she took a cutting so that she could grown her very own wild roses.","katrina loved wild roses more than any other flower. recently, she went on a hike to see if she could find any. just as she had nearly given up, she found a very tiny bush nearby. she took a cutting so that she could grown her very own wild roses. she was so excited to see the wild wildflowers in the wild!",A,B,both both both A A
derek worked as an exterminator. derek was an excellent trumpet player. he was offered a full-time job playing his trumpet in a band. derek quit his exterminator job.,3,derek was fired from his job.,derek worked as an exterminator. derek was an excellent trumpet player. he was offered a full-time job playing his trumpet in a band. derek was fired from his job. derek quit his exterminator job.,1,Derek also liked to play the trumpet.,derek worked as an exterminator. derek also liked to play the trumpet. derek was an excellent trumpet player. he was offered a full-time job playing his trumpet in a band. derek quit his exterminator job.,b8f83418-7334-4ff6-904f-741173ec4da7,derek worked as an exterminator. derek also liked to play the trumpet. derek was an excellent trumpet player. he was offered a full-time job playing his trumpet in a band. derek quit his exterminator job.,derek worked as an exterminator. derek was an excellent trumpet player. he was offered a full-time job playing his trumpet in a band. derek was fired from his job. derek quit his exterminator job.,A,B,A A A B A
"she had to put extra air in the tire 3 times in 1 month. jane took her car to the tire store, and they checked the tire. the tire had an air leak, and mechanic fixed the tire. jane took the car home, happy they fixed the tire leak.",0,lucy and her friend were driving to the store.,"lucy and her friend were driving to the store. she had to put extra air in the tire 3 times in 1 month. jane took her car to the tire store, and they checked the tire. the tire had an air leak, and mechanic fixed the tire. jane took the car home, happy they fixed the tire leak.",0,Mary noticed her car's front left tire was looking very low in air.,"mary noticed her car's front left tire was looking very low in air. she had to put extra air in the tire 3 times in 1 month. jane took her car to the tire store, and they checked the tire. the tire had an air leak, and mechanic fixed the tire. jane took the car home, happy they fixed the tire leak.",82205d2c-b1a2-4afe-9441-1f7aa8e06e2a,"mary noticed her car's front left tire was looking very low in air. she had to put extra air in the tire 3 times in 1 month. jane took her car to the tire store, and they checked the tire. the tire had an air leak, and mechanic fixed the tire. jane took the car home, happy they fixed the tire leak.","lucy and her friend were driving to the store. she had to put extra air in the tire 3 times in 1 month. jane took her car to the tire store, and they checked the tire. the tire had an air leak, and mechanic fixed the tire. jane took the car home, happy they fixed the tire leak.",A,B,A A both A A
nancy wanted to get a new stereo. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,1,she went to the local electronics store.,nancy wanted to get a new stereo. she went to the local electronics store. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,1,She went to the store and compared options.,nancy wanted to get a new stereo. she went to the store and compared options. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,baa1462a-e3c2-40a2-95f0-debd2cfc26f4,nancy wanted to get a new stereo. she went to the local electronics store. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,nancy wanted to get a new stereo. she went to the store and compared options. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,B,A,A A both both A
"ian always let lily copy his math homework before class. and he let her cheat off him during tests too. and lily didn't know what to do. on the day of the final exam, lily failed.",1,she was devastated.,"ian always let lily copy his math homework before class. she was devastated. and he let her cheat off him during tests too. and lily didn't know what to do. on the day of the final exam, lily failed.",2,"But the last two days of class, Ian was sick.","ian always let lily copy his math homework before class. and he let her cheat off him during tests too. but the last two days of class, ian was sick. and lily didn't know what to do. on the day of the final exam, lily failed.",ff37821a-17bd-46f4-a61b-515f70ad98c4,"ian always let lily copy his math homework before class. she was devastated. and he let her cheat off him during tests too. and lily didn't know what to do. on the day of the final exam, lily failed.","ian always let lily copy his math homework before class. and he let her cheat off him during tests too. but the last two days of class, ian was sick. and lily didn't know what to do. on the day of the final exam, lily failed.",B,A,B B B B B
ray is starting school in a few days. he first went shopping for a new backpack. he then bought the supplies for school. ray had a great first day of school.,2,he was very nervous about starting school.,ray is starting school in a few days. he first went shopping for a new backpack. he was very nervous about starting school. he then bought the supplies for school. ray had a great first day of school.,3,The day before school he prepared his supplies and backpack.,ray is starting school in a few days. he first went shopping for a new backpack. he then bought the supplies for school. the day before school he prepared his supplies and backpack. ray had a great first day of school.,8b199557-c44b-4e16-b98c-489f5f7a6ae3,ray is starting school in a few days. he first went shopping for a new backpack. he then bought the supplies for school. the day before school he prepared his supplies and backpack. ray had a great first day of school.,ray is starting school in a few days. he first went shopping for a new backpack. he was very nervous about starting school. he then bought the supplies for school. ray had a great first day of school.,A,B,A both both A A
"tj had never played in a band before. he was excited to get together with other musicians. the call came in, he had made the band! he began rehearsing with the other guys, getting ready for the gig.",4,"he was nervous, but excited.","tj had never played in a band before. he was excited to get together with other musicians. the call came in, he had made the band! he began rehearsing with the other guys, getting ready for the gig. he was nervous, but excited.",2,"The auditions came and went, TJ thought he did well.","tj had never played in a band before. he was excited to get together with other musicians. the auditions came and went, tj thought he did well. the call came in, he had made the band! he began rehearsing with the other guys, getting ready for the gig.",5abc0684-738d-4342-b272-90e2f99786d5,"tj had never played in a band before. he was excited to get together with other musicians. the call came in, he had made the band! he began rehearsing with the other guys, getting ready for the gig. he was nervous, but excited.","tj had never played in a band before. he was excited to get together with other musicians. the auditions came and went, tj thought he did well. the call came in, he had made the band! he began rehearsing with the other guys, getting ready for the gig.",B,A,B B B B both
i was involved in an expressive experiment. i felt from the beginning it was rigged. we argued for an hour. the final choices were very different from expectations.,4,i was able to get it working.,i was involved in an expressive experiment. i felt from the beginning it was rigged. we argued for an hour. the final choices were very different from expectations. i was able to get it working.,2,The answers did not seem to match opinions.,i was involved in an expressive experiment. i felt from the beginning it was rigged. the answers did not seem to match opinions. we argued for an hour. the final choices were very different from expectations.,ddb1ce3e-9f5f-44d6-a3b0-27743a4e2937,i was involved in an expressive experiment. i felt from the beginning it was rigged. the answers did not seem to match opinions. we argued for an hour. the final choices were very different from expectations.,i was involved in an expressive experiment. i felt from the beginning it was rigged. we argued for an hour. the final choices were very different from expectations. i was able to get it working.,A,B,B B A A both
"lucy spent the day at disneyland. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",1,she was very excited to go on it.,"lucy spent the day at disneyland. she was very excited to go on it. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",1,She had worn a new pair of boots.,"lucy spent the day at disneyland. she had worn a new pair of boots. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",3013151e-e87e-41b4-8727-b155d8390f21,"lucy spent the day at disneyland. she had worn a new pair of boots. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.","lucy spent the day at disneyland. she was very excited to go on it. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",A,B,A A A A A
my mom taught me how to pray when i was a little child. i said the same prayer every night with her as a child. when my son was born i taught him the same prayer. now my son says the prayer with me.,2,i told my husband that i would be good if he did not do better.,my mom taught me how to pray when i was a little child. i said the same prayer every night with her as a child. i told my husband that i would be good if he did not do better. when my son was born i taught him the same prayer. now my son says the prayer with me.,4,We have a special bond with our family praying because of my mom.,my mom taught me how to pray when i was a little child. i said the same prayer every night with her as a child. when my son was born i taught him the same prayer. now my son says the prayer with me. we have a special bond with our family praying because of my mom.,97aebf48-70a0-49e0-b277-6b881b9ca606,my mom taught me how to pray when i was a little child. i said the same prayer every night with her as a child. when my son was born i taught him the same prayer. now my son says the prayer with me. we have a special bond with our family praying because of my mom.,my mom taught me how to pray when i was a little child. i said the same prayer every night with her as a child. i told my husband that i would be good if he did not do better. when my son was born i taught him the same prayer. now my son says the prayer with me.,A,B,A A A A A
jamie saw something on her car. it was a note from a secret admirer! it was very sweet! jamie wanted to know who had a crush on her.,2,she opened it up.,jamie saw something on her car. it was a note from a secret admirer! she opened it up. it was very sweet! jamie wanted to know who had a crush on her.,2,She read it and blushed.,jamie saw something on her car. it was a note from a secret admirer! she read it and blushed. it was very sweet! jamie wanted to know who had a crush on her.,b0f62ffc-1e25-486d-bf5d-69ef69d757a6,jamie saw something on her car. it was a note from a secret admirer! she read it and blushed. it was very sweet! jamie wanted to know who had a crush on her.,jamie saw something on her car. it was a note from a secret admirer! she opened it up. it was very sweet! jamie wanted to know who had a crush on her.,A,B,both both A both both
